Element_Name,Abbreviation,Category,Sequence/Level,BASE,GOE_-5,GOE_-4,GOE_-3,GOE_-2,GOE_-1,GOE_+1,GOE_+2,GOE_+3,GOE_+4,GOE_+5
Rhumba Sequence (Junior),1RHB,Required Element,Base,2.5,-1.88,-1.5,-1.13,-0.75,-0.38,0.38,0.75,1.13,1.5,1.88
Rhumba Sequence (Junior),1RH1,Required Element,Level 1,3.5,-2.63,-2.1,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.1,2.63
Rhumba Sequence (Junior),1RH2,Required Element,Level 2,4,-2.63,-2.1,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.1,2.63
Rhumba Sequence (Junior),1RH3,Required Element,Level 3,4.75,-2.63,-2.1,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.1,2.63
Rhumba Sequence (Junior),1RH4,Required Element,Level 4,5.5,-2.63,-2.1,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.1,2.63
Quickstep Sequence (Junior),1QSB,Required Element,Base,2.5,-1.88,-1.5,-1.13,-0.75,-0.38,0.38,0.75,1.13,1.5,1.88
Quickstep Sequence (Junior),1QS1,Required Element,Level 1,3.5,-2.63,-2.1,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.1,2.63
Quickstep Sequence (Junior),1QS2,Required Element,Level 2,4,-2.63,-2.1,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.1,2.63
Quickstep Sequence (Junior),1QS3,Required Element,Level 3,4.75,-2.63,-2.1,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.1,2.63
Quickstep Sequence (Junior),1QS4,Required Element,Level 4,5.5,-2.63,-2.1,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.1,2.63
Pattern Dance Type Step Sequence Style D (Senior),PStB,Required Element,Base,5,-3.75,-3,-2.25,-1.5,-0.75,0.75,1.5,2.25,3,3.75
Pattern Dance Type Step Sequence Style D (Senior),PSt1,Required Element,Level 1,7.45,-5.59,-4.47,-3.35,-2.24,-1.12,1.12,2.24,3.35,4.47,5.59
Pattern Dance Type Step Sequence Style D (Senior),PSt2,Required Element,Level 2,7.95,-5.59,-4.47,-3.35,-2.24,-1.12,1.12,2.24,3.35,4.47,5.59
Pattern Dance Type Step Sequence Style D (Senior),PSt3,Required Element,Level 3,8.7,-5.59,-4.47,-3.35,-2.24,-1.12,1.12,2.24,3.35,4.47,5.59
Pattern Dance Type Step Sequence Style D (Senior),PSt4,Required Element,Level 4,9.45,-5.59,-4.47,-3.35,-2.24,-1.12,1.12,2.24,3.35,4.47,5.59
Dance Spin,DSpB,Required Element,Base,1.8,-1.35,-1.08,-0.81,-0.54,-0.27,0.27,0.54,0.81,1.08,1.35
Dance Spin,DSp1,Required Element,Level 1,3.75,-2.81,-2.25,-1.69,-1.13,-0.56,0.56,1.13,1.69,2.25,2.81
Dance Spin,DSp2,Required Element,Level 2,4.5,-2.81,-2.25,-1.69,-1.13,-0.56,0.56,1.13,1.69,2.25,2.81
Dance Spin,DSp3,Required Element,Level 3,5.25,-2.81,-2.25,-1.69,-1.13,-0.56,0.56,1.13,1.69,2.25,2.81
Dance Spin,DSp4,Required Element,Level 4,6,-2.81,-2.25,-1.69,-1.13,-0.56,0.56,1.13,1.69,2.25,2.81
Spiral Edge Element,SpEeB,Required Element,Base,1.15,-0.86,-0.69,-0.52,-0.35,-0.17,0.17,0.35,0.52,0.69,0.86
Spiral Edge Element,SpEe1,Required Element,Level 1,3.2,-2.4,-1.92,-1.44,-0.96,-0.48,0.48,0.96,1.44,1.92,2.4
Spiral Edge Element,SpEe2,Required Element,Level 2,3.95,-2.4,-1.92,-1.44,-0.96,-0.48,0.48,0.96,1.44,1.92,2.4
Spiral Edge Element,SpEe3,Required Element,Level 3,4.7,-2.4,-1.92,-1.44,-0.96,-0.48,0.48,0.96,1.44,1.92,2.4
Spiral Edge Element,SpEe4,Required Element,Level 4,5.45,-2.4,-1.92,-1.44,-0.96,-0.48,0.48,0.96,1.44,1.92,2.4
Crouch Edge Element,CrEeB,Required Element,Base,1.15,-0.86,-0.69,-0.52,-0.35,-0.17,0.17,0.35,0.52,0.69,0.86
Crouch Edge Element,CrEe1,Required Element,Level 1,3.2,-2.4,-1.92,-1.44,-0.96,-0.48,0.48,0.96,1.44,1.92,2.4
Crouch Edge Element,CrEe2,Required Element,Level 2,3.95,-2.4,-1.92,-1.44,-0.96,-0.48,0.48,0.96,1.44,1.92,2.4
Crouch Edge Element,CrEe3,Required Element,Level 3,4.7,-2.4,-1.92,-1.44,-0.96,-0.48,0.48,0.96,1.44,1.92,2.4
Crouch Edge Element,CrEe4,Required Element,Level 4,5.45,-2.4,-1.92,-1.44,-0.96,-0.48,0.48,0.96,1.44,1.92,2.4
Spread Eagle Edge Element,SeEeB,Required Element,Base,1.15,-0.86,-0.69,-0.52,-0.35,-0.17,0.17,0.35,0.52,0.69,0.86
Spread Eagle Edge Element,SeEe1,Required Element,Level 1,3.2,-2.4,-1.92,-1.44,-0.96,-0.48,0.48,0.96,1.44,1.92,2.4
Spread Eagle Edge Element,SeEe2,Required Element,Level 2,3.95,-2.4,-1.92,-1.44,-0.96,-0.48,0.48,0.96,1.44,1.92,2.4
Spread Eagle Edge Element,SeEe3,Required Element,Level 3,4.7,-2.4,-1.92,-1.44,-0.96,-0.48,0.48,0.96,1.44,1.92,2.4
Spread Eagle Edge Element,SeEe4,Required Element,Level 4,5.45,-2.4,-1.92,-1.44,-0.96,-0.48,0.48,0.96,1.44,1.92,2.4
Ina Bauer Type Edge Element,IBEEB,Required Element,Base,1.15,-0.86,-0.69,-0.52,-0.35,-0.17,0.17,0.35,0.52,0.69,0.86
Ina Bauer Type Edge Element,IBEe1,Required Element,Level 1,3.2,-2.4,-1.92,-1.44,-0.96,-0.48,0.48,0.96,1.44,1.92,2.4
Ina Bauer Type Edge Element,IBEe2,Required Element,Level 2,3.95,-2.4,-1.92,-1.44,-0.96,-0.48,0.48,0.96,1.44,1.92,2.4
Ina Bauer Type Edge Element,IBEe3,Required Element,Level 3,4.7,-2.4,-1.92,-1.44,-0.96,-0.48,0.48,0.96,1.44,1.92,2.4
Ina Bauer Type Edge Element,IBEe4,Required Element,Level 4,5.45,-2.4,-1.92,-1.44,-0.96,-0.48,0.48,0.96,1.44,1.92,2.4
Sequential Twizzles,SqTwB,Required Element,Base,2.1,-1.58,-1.26,-0.95,-0.63,-0.32,0.32,0.63,0.95,1.26,1.58
Sequential Twizzles,SqTw1,Required Element,Level 1,5.34,-4.01,-3.2,-2.4,-1.6,-0.8,0.8,1.6,2.4,3.2,4.01
Sequential Twizzles,SqTw2,Required Element,Level 2,5.84,-4.01,-3.2,-2.4,-1.6,-0.8,0.8,1.6,2.4,3.2,4.01
Sequential Twizzles,SqTw3,Required Element,Level 3,6.6,-4.01,-3.2,-2.4,-1.6,-0.8,0.8,1.6,2.4,3.2,4.01
Sequential Twizzles,SqTw4,Required Element,Level 4,7.34,-4.01,-3.2,-2.4,-1.6,-0.8,0.8,1.6,2.4,3.2,4.01
Solo Twizzles,SoTwB,Required Element,Base,1.6,-1.2,-0.96,-0.72,-0.48,-0.24,0.24,0.48,0.72,0.96,1.2
Solo Twizzles,SoTw1,Required Element,Level 1,4.84,-3.63,-2.9,-2.18,-1.45,-0.73,0.73,1.45,2.18,2.9,3.63
Solo Twizzles,SoTw2,Required Element,Level 2,5.34,-3.63,-2.9,-2.18,-1.45,-0.73,0.73,1.45,2.18,2.9,3.63
Solo Twizzles,SoTw3,Required Element,Level 3,6.1,-3.63,-2.9,-2.18,-1.45,-0.73,0.73,1.45,2.18,2.9,3.63
Solo Twizzles,SoTw4,Required Element,Level 4,6.84,-3.63,-2.9,-2.18,-1.45,-0.73,0.73,1.45,2.18,2.9,3.63
One Foot Turns Sequence,OFTB,Required Element,Base,1.6,-1.2,-0.96,-0.72,-0.48,-0.24,0.24,0.48,0.72,0.96,1.2
One Foot Turns Sequence,OFT1,Required Element,Level 1,4.84,-3.63,-2.9,-2.18,-1.45,-0.73,0.73,1.45,2.18,2.9,3.63
One Foot Turns Sequence,OFT2,Required Element,Level 2,5.34,-3.63,-2.9,-2.18,-1.45,-0.73,0.73,1.45,2.18,2.9,3.63
One Foot Turns Sequence,OFT3,Required Element,Level 3,6.1,-3.63,-2.9,-2.18,-1.45,-0.73,0.73,1.45,2.18,2.9,3.63
One Foot Turns Sequence,OFT4,Required Element,Level 4,6.84,-3.63,-2.9,-2.18,-1.45,-0.73,0.73,1.45,2.18,2.9,3.63
Diagonal Step Sequence Style B,DiStB,Required Element,Base,4.5,-3.38,-2.7,-2.03,-1.35,-0.68,0.68,1.35,2.03,2.7,3.38
Diagonal Step Sequence Style B,DiSt1,Required Element,Level 1,6.96,-5.22,-4.18,-3.13,-2.09,-1.04,1.04,2.09,3.13,4.18,5.22
Diagonal Step Sequence Style B,DiSt2,Required Element,Level 2,7.46,-5.22,-4.18,-3.13,-2.09,-1.04,1.04,2.09,3.13,4.18,5.22
Diagonal Step Sequence Style B,DiSt3,Required Element,Level 3,8.2,-5.22,-4.18,-3.13,-2.09,-1.04,1.04,2.09,3.13,4.18,5.22
Diagonal Step Sequence Style B,DiSt4,Required Element,Level 4,8.96,-5.22,-4.18,-3.13,-2.09,-1.04,1.04,2.09,3.13,4.18,5.22
Midline Step Sequence Style B,MiStB,Required Element,Base,4.5,-3.38,-2.7,-2.03,-1.35,-0.68,0.68,1.35,2.03,2.7,3.38
Midline Step Sequence Style B,MiSt1,Required Element,Level 1,6.96,-5.22,-4.18,-3.13,-2.09,-1.04,1.04,2.09,3.13,4.18,5.22
Midline Step Sequence Style B,MiSt2,Required Element,Level 2,7.46,-5.22,-4.18,-3.13,-2.09,-1.04,1.04,2.09,3.13,4.18,5.22
Midline Step Sequence Style B,MiSt3,Required Element,Level 3,8.2,-5.22,-4.18,-3.13,-2.09,-1.04,1.04,2.09,3.13,4.18,5.22
Midline Step Sequence Style B,MiSt4,Required Element,Level 4,8.96,-5.22,-4.18,-3.13,-2.09,-1.04,1.04,2.09,3.13,4.18,5.22
Circular Step Sequence Style B,CiStB,Required Element,Base,4.5,-3.38,-2.7,-2.03,-1.35,-0.68,0.68,1.35,2.03,2.7,3.38
Circular Step Sequence Style B,CiSt1,Required Element,Level 1,6.96,-5.22,-4.18,-3.13,-2.09,-1.04,1.04,2.09,3.13,4.18,5.22
Circular Step Sequence Style B,CiSt2,Required Element,Level 2,7.46,-5.22,-4.18,-3.13,-2.09,-1.04,1.04,2.09,3.13,4.18,5.22
Circular Step Sequence Style B,CiSt3,Required Element,Level 3,8.2,-5.22,-4.18,-3.13,-2.09,-1.04,1.04,2.09,3.13,4.18,5.22
Circular Step Sequence Style B,CiSt4,Required Element,Level 4,8.96,-5.22,-4.18,-3.13,-2.09,-1.04,1.04,2.09,3.13,4.18,5.22
